Air Quality Station EoI Code,Air Pollutant,Date,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City,Linke,Gruene,SPD,FDP,CDU,AfD,Others
DEBE065,PM10,1999,38.278,ug/m3,Traffic,urban,BE,Berlin,Berlin,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0
DEBE065,PM10,2011,29.8,ug/m3,Traffic,urban,BE,Berlin,Berlin,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,10.06711409395973
DEBE065,PM10,2011,29.8,ug/m3,Traffic,urban,BE,Berlin,Berlin,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,10.06711409395973
DEBE065,PM10,2006,39.661,ug/m3,Traffic,urban,BE,Berlin,Berlin,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100673,0.0,0.0
DEBE010,PM10,2011,26.003,ug/m3,Background,urban,BE,Berlin,Berlin,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,10.06711409395973
DEBE027,PM10,2001,18.518,ug/m3,Industrial,rural,BE,Berlin,Berlin,23.404255319148938,9.929078014184398,31.20567375886525,10.638297872340424,24.822695035460992,0.0,0.0
DEBE027,PM10,2011,17.553,ug/m3,Industrial,rural,BE,Berlin,Berlin,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,10.06711409395973
DEBE032,PM10,2011,20.794,ug/m3,Background,rural,BE,Berlin,Berlin,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,10.06711409395973
DEBE065,PM10,1999,38.278,ug/m3,Traffic,urban,BE,Berlin,Berlin,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0
DEBE032,PM10,2006,23.455,ug/m3,Background,rural,BE,Berlin,Berlin,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100673,0.0,0.0
DEBE065,PM10,2001,35.398,ug/m3,Traffic,urban,BE,Berlin,Berlin,23.404255319148938,9.929078014184398,31.20567375886525,10.638297872340424,24.822695035460992,0.0,0.0
DEBE065,PM10,2001,35.643,ug/m3,Traffic,urban,BE,Berlin,Berlin,23.404255319148938,9.929078014184398,31.20567375886525,10.638297872340424,24.822695035460992,0.0,0.0
DEBE061,PM10,2001,34.884,ug/m3,Traffic,urban,BE,Berlin,Berlin,23.404255319148938,9.929078014184398,31.20567375886525,10.638297872340424,24.822695035460992,0.0,0.0
DEBE068,PM10,2011,25.352,ug/m3,Background,urban,BE,Berlin,Berlin,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,10.06711409395973
