City,State,Year,Linke,Gruene,SPD,FDP,CDU,AfD,Others,left_coalition,right_coalition,left_dominated,others_dominated,Air Quality Station EoI Code,Air Pollutant,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,District,Normalized Pollution Level,majority
Berlin,BE,1999,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE044,CO,0.428,mg/m3,Traffic,urban,Berlin,0.1355296080066722,L
Berlin,BE,1999,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE064,CO,1.439,mg/m3,Traffic,urban,Berlin,0.5571309424520434,L
Berlin,BE,1999,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE010,CO,0.529,mg/m3,Background,urban,Berlin,0.1776480400333611,L
Berlin,BE,1999,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE026,CO,0.35,mg/m3,Industrial,rural,Berlin,0.1030025020850709,L
Berlin,BE,1999,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE015,CO,0.481,mg/m3,Traffic,urban,Berlin,0.1576313594662218,L
Berlin,BE,1999,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE063,CO,1.981,mg/m3,Traffic,urban,Berlin,0.7831526271893245,L
Berlin,BE,1999,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE018,CO,0.356,mg/m3,Background,urban,Berlin,0.1055045871559633,L
Berlin,BE,1999,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE011,CO,0.257,mg/m3,Traffic,suburban,Berlin,0.0642201834862385,L
Berlin,BE,1999,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE027,CO,0.173,mg/m3,Industrial,rural,Berlin,0.0291909924937447,L
Berlin,BE,1999,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE057,CO,0.659,mg/m3,Traffic,suburban,Berlin,0.23185988323603,L
Berlin,BE,1999,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE034,CO,0.498,mg/m3,Background,urban,Berlin,0.164720600500417,L
Berlin,BE,1999,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE032,CO,0.152,mg/m3,Background,rural,Berlin,0.0204336947456213,L
Berlin,BE,1999,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE014,CO,0.734,mg/m3,Traffic,urban,Berlin,0.2631359466221852,L
Berlin,BE,1999,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE005,CO,0.325,mg/m3,Background,suburban,Berlin,0.0925771476230192,L
Berlin,BE,1999,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE061,CO,1.468,mg/m3,Traffic,urban,Berlin,0.5692243536280234,L
Berlin,BE,1999,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE065,CO,0.933,mg/m3,Traffic,urban,Berlin,0.3461217681401168,L
Berlin,BE,1999,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE065,CO,0.933,mg/m3,Traffic,urban,Berlin,0.3461217681401168,L
Berlin,BE,2000,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE061,CO,1.424,mg/m3,Traffic,urban,Berlin,0.8299620733249051,L
Berlin,BE,2000,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE044,CO,0.471,mg/m3,Traffic,urban,Berlin,0.2275600505689001,L
Berlin,BE,2000,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE010,CO,0.572,mg/m3,Background,urban,Berlin,0.2914032869785082,L
Berlin,BE,2000,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE011,CO,0.238,mg/m3,Traffic,suburban,Berlin,0.0802781289506953,L
Berlin,BE,2000,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE018,CO,0.344,mg/m3,Background,urban,Berlin,0.1472819216182047,L
Berlin,BE,2000,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE066,CO,0.251,mg/m3,Background,urban,Berlin,0.0884955752212389,L
Berlin,BE,2000,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE015,CO,0.512,mg/m3,Traffic,urban,Berlin,0.2534766118836915,L
Berlin,BE,2000,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0,55.02958579881657,44.97041420118343,True,False,DEBE026,CO,0.419,mg/m3,Industrial,rural,Berlin,0.1946902654867256,L
