Darmstadt,HE,2021,7.042253521126761,28.169014084507044,16.901408450704224,5.633802816901409,15.492957746478872,4.225352112676056,22.535211267605632
Frankfurt am Main,HE,2021,7.526881720430108,24.731182795698924,17.20430107526882,7.526881720430108,21.50537634408602,4.301075268817205,17.204301075268816
Offenbach am Main,HE,2021,8.450704225352112,18.30985915492958,28.169014084507044,5.633802816901409,18.30985915492958,7.042253521126761,14.084507042253506
Wiesbaden,HE,2021,6.172839506172839,20.98765432098765,20.98765432098765,9.876543209876543,23.456790123456788,6.172839506172839,12.345679012345698
Bensheim,HE,2021,0,24.444444444444443,15.555555555555555,8.88888888888889,33.33333333333333,4.444444444444445,13.333333333333343
Heppenheim (Bergstraße),HE,2021,2.7027027027027026,18.91891891891892,16.216216216216218,10.81081081081081,37.83783783783784,0,13.513513513513516
Lampertheim,HE,2021,0,17.77777777777778,35.55555555555556,13.333333333333334,33.33333333333333,0,0
Viernheim,HE,2021,0,17.77777777777778,26.666666666666668,6.666666666666667,33.33333333333333,0,15.555555555555571
Griesheim,HE,2021,0,24.324324324324326,27.027027027027028,8.108108108108109,29.72972972972973,0,10.810810810810807
Groß-Umstadt,HE,2021,0,16.216216216216218,37.83783783783784,8.108108108108109,21.62162162162162,0,16.216216216216225
Pfungstadt,HE,2021,0,13.513513513513514,32.432432432432435,5.405405405405405,16.216216216216218,0,32.43243243243242
Weiterstadt,HE,2021,0,0,43.24324324324324,2.7027027027027026,24.324324324324326,0,29.729729729729726
Groß-Gerau,HE,2021,0,18.91891891891892,24.324324324324326,5.405405405405405,32.432432432432435,2.7027027027027026,16.21621621621621
Mörfelden-Walldorf,HE,2021,0,31.11111111111111,20.0,6.666666666666667,20.0,0,22.22222222222223
Riedstadt,HE,2021,2.7027027027027026,16.216216216216218,24.324324324324326,0,27.027027027027028,2.7027027027027026,27.027027027027017
Rüsselsheim am Main,HE,2021,0,15.555555555555555,20.0,2.2222222222222223,22.22222222222222,2.2222222222222223,37.77777777777778
Bad Homburg vor der Höhe,HE,2021,2.0408163265306123,18.367346938775512,14.285714285714285,10.204081632653061,42.857142857142854,2.0408163265306123,10.204081632653057
Friedrichsdorf,HE,2021,0,29.72972972972973,10.81081081081081,10.81081081081081,27.027027027027028,0,21.621621621621614
Oberursel (Taunus),HE,2021,4.444444444444445,24.444444444444443,15.555555555555555,8.88888888888889,26.666666666666668,4.444444444444445,15.555555555555557
Bruchköbel,HE,2021,0,21.62162162162162,16.216216216216218,24.324324324324326,24.324324324324326,0,13.513513513513516
Gelnhausen,HE,2021,0,18.91891891891892,21.62162162162162,10.81081081081081,24.324324324324326,0,24.324324324324323
Hanau,HE,2021,3.389830508474576,15.254237288135593,32.20338983050847,6.779661016949152,25.423728813559322,0,16.949152542372886
